name,country_of_citizenship,position,foot,height_in_cm,current_club_domestic_competition_id,current_club_name,market_value_in_eur,yellow_cards,red_cards,goals,assists,minutes_played,age
Ilay Camara,Belgium,Defender,right,174.0,BE1,RWD Molenbeek,1500000.0,6,0,3,5,1605,22
Paul Akouokou,Cote d'Ivoire,Midfield,right,181.0,FR1,Olympique Lyon,1500000.0,1,0,0,0,334,27
Iñigo Córdoba,Spain,Attack,left,178.0,NL1,Fortuna Sittard,1500000.0,3,0,4,2,2906,27
Stefano Sabelli,Italy,Defender,right,176.0,IT1,Genoa CFC,1500000.0,5,0,0,1,2461,32
Maxime Busi,Belgium,Defender,right,182.0,FR1,Stade Reims,1500000.0,1,0,0,0,158,25
Denis Suárez,Spain,Midfield,right,176.0,ES1,Villarreal CF,1500000.0,0,0,0,0,160,31
Darko Lazović,Serbia,Midfield,right,181.0,IT1,Hellas Verona,1500000.0,0,1,3,2,2025,34
Emre Gökay,Türkiye,Attack,left,181.0,TR1,Sivasspor,1500000.0,0,0,0,0,84,18
Ilya Agapov,Russia,Defender,left,193.0,RU1,CSKA Moscow,1500000.0,1,0,2,2,1588,24
Iza Carcelén,Spain,Defender,right,170.0,ES1,Cádiz CF,1500000.0,2,0,0,0,2610,31
Ibrahim Cissoko,Netherlands,Attack,right,188.0,FR1,FC Toulouse,1500000.0,1,0,1,1,320,21
Lebo Mothiba,South Africa,Attack,right,182.0,FR1,RC Strasbourg Alsace,1500000.0,0,0,3,0,610,29
Joan Sastre,Spain,Defender,right,174.0,GR1,PAOK Thessaloniki,1500000.0,2,0,2,4,1695,27
Kazeem Olaigbe,Belgium,Attack,right,178.0,BE1,Cercle Brugge,1500000.0,0,0,3,0,596,22
Ugochukwu Iwu,Armenia,Midfield,right,177.0,RU1,Rubin Kazan,1500000.0,4,0,1,0,2366,25
Oday Dabbagh,Palestine,Attack,left,183.0,BE1,R Charleroi SC,1500000.0,1,0,4,2,1472,26
Kilian Fischer,Germany,Defender,both,182.0,L1,VfL Wolfsburg,1500000.0,1,0,0,0,291,24
Marco Kana,Belgium,Midfield,right,182.0,BE1,KV Kortrijk,1500000.0,5,0,0,0,1326,22
Diego Rico,Spain,Defender,left,183.0,ES1,Getafe CF,1500000.0,10,0,0,7,2720,31
Milan Djuric,Bosnia-Herzegovina,Attack,right,199.0,IT1,Hellas Verona,1500000.0,4,0,10,4,2554,34
Mário Fernandes,Russia,Defender,right,189.0,RU1,Zenit St. Petersburg,1500000.0,1,0,0,0,925,34
Rubén Alcaraz,Spain,Midfield,right,180.0,ES1,Cádiz CF,1500000.0,15,0,3,1,3188,33
Randy Nteka,Angola,Midfield,left,189.0,ES1,Rayo Vallecano,1500000.0,5,0,2,1,831,27
Yegor Nazaryna,Ukraine,Midfield,right,183.0,UKR1,Shakhtar Donetsk,1500000.0,2,0,3,1,1092,27
Theo Corbeanu,Canada,Attack,left,190.0,ES1,Granada CF,1500000.0,2,0,1,0,196,22
Samuel Grandsir,France,Attack,right,170.0,FR1,Le Havre AC,1500000.0,4,1,1,0,586,28
Christophe Hérelle,Martinique,Defender,right,191.0,FR1,FC Metz,1500000.0,4,1,0,0,1620,32
Filip Djuricic,Serbia,Midfield,right,181.0,GR1,Panathinaikos FC,1500000.0,7,0,4,4,1525,33
Carlos Benavidez,Uruguay,Midfield,right,185.0,ES1,Deportivo Alavés,1500000.0,6,0,4,1,1392,26
Denis Genreau,Australia,Midfield,right,175.0,FR1,FC Toulouse,1500000.0,0,0,0,0,524,25
Evgeniy Kharin,Russia,Midfield,left,185.0,RU1,Akhmat Grozny,1500000.0,6,0,0,2,1151,29
George Pușcaș,Romania,Attack,right,188.0,IT1,Genoa CFC,1500000.0,0,0,0,1,283,28
Mehmet Aydın,Türkiye,Defender,right,180.0,TR1,Trabzonspor,1500000.0,2,0,0,0,1288,22
Carlos Fernández,Spain,Attack,left,185.0,ES1,Real Sociedad,1500000.0,4,0,3,1,560,28
César Gelabert,Spain,Midfield,right,182.0,FR1,FC Toulouse,1500000.0,1,0,1,3,1018,24
Joe Hodge,Ireland,Midfield,right,172.0,GB1,Wolverhampton Wanderers,1500000.0,0,0,0,0,125,22
Senne Lammens,Belgium,Goalkeeper,right,193.0,BE1,Royal Antwerp FC,1500000.0,0,0,0,0,90,22
Sandro Ramírez,Spain,Attack,right,174.0,ES1,UD Las Palmas,1500000.0,2,0,1,3,1819,29
Youssef Maziz,France,Midfield,right,175.0,FR1,FC Metz,1500000.0,4,0,5,6,1716,26
Mathias Olesen,Luxembourg,Midfield,both,188.0,L1,1.FC Köln,1500000.0,2,0,0,1,227,23
Edward Chilufya,Zambia,Attack,right,171.0,DK1,FC Midtjylland,1500000.0,0,0,1,0,571,25
Marco Ilaimaharitra,Madagascar,Midfield,right,178.0,BE1,R Charleroi SC,1500000.0,8,1,4,1,2138,29
Caleb Ekuban,Ghana,Attack,right,182.0,IT1,Genoa CFC,1500000.0,0,0,4,3,1169,30
Marco Sportiello,Italy,Goalkeeper,right,192.0,IT1,AC Milan,1500000.0,0,0,0,0,708,32
Alexander Jeremejeff,Sweden,Attack,right,192.0,GR1,Panathinaikos FC,1500000.0,1,0,7,0,349,31
Jay Gorter,Netherlands,Goalkeeper,right,190.0,NL1,Ajax Amsterdam,1500000.0,0,0,0,0,1026,24
Óscar de Marcos,Spain,Defender,right,182.0,ES1,Athletic Bilbao,1500000.0,6,0,1,6,2680,35
Oleksandr Andriyevskyi,Ukraine,Midfield,left,179.0,UKR1,Dynamo Kyiv,1500000.0,4,0,1,4,1436,30
Raúl Albiol,Spain,Defender,right,190.0,ES1,Villarreal CF,1500000.0,7,0,0,1,2221,39
Maxime Dominguez,Switzerland,Midfield,left,173.0,PO1,Gil Vicente FC,1500000.0,8,0,6,4,2351,28
Eduard Sobol,Ukraine,Defender,left,186.0,FR1,RC Strasbourg Alsace,1500000.0,0,0,0,0,342,29
Diego Valencia,Chile,Attack,right,185.0,GR1,Atromitos Athens,1500000.0,7,0,2,4,1872,25
Danny Armstrong,Scotland,Attack,left,175.0,SC1,Kilmarnock FC,1500000.0,9,0,8,11,2928,27
Gustavo Assunção,Brazil,Midfield,right,178.0,PO1,FC Famalicão,1500000.0,5,0,0,0,618,24
João Silva,Portugal,Defender,right,187.0,BE1,KV Kortrijk,1500000.0,4,0,0,0,2562,26
Kévin N'Doram,France,Midfield,right,184.0,FR1,FC Metz,1500000.0,4,0,0,2,1604,29
Rodinei,Brazil,Defender,right,177.0,GR1,Olympiacos Piraeus,1500000.0,5,0,3,5,2842,33
Giannis Michailidis,Greece,Defender,left,188.0,GR1,PAOK Thessaloniki,1500000.0,3,0,0,1,1309,24
Francisco Calvo,Costa Rica,Defender,left,183.0,TR1,Konyaspor,1500000.0,4,0,0,0,1450,32
Loïc Mbe Soh,France,Defender,right,187.0,NL1,Almere City FC,1500000.0,2,0,1,1,1335,23
Mariano Díaz,Dominican Republic,Attack,right,180.0,ES1,Sevilla FC,1500000.0,2,0,0,1,319,31
Mortadha Ben Ouanes,Tunisia,Defender,left,182.0,TR1,Kasimpasa,1500000.0,8,0,6,5,3001,30
Lucas Lund,Denmark,Goalkeeper,right,195.0,DK1,Viborg FF,1500000.0,1,0,0,0,1665,24
Manu Vallejo,Spain,Attack,right,167.0,ES1,Girona FC,1500000.0,0,0,0,0,11,27
João Rêgo,Portugal,Midfield,right,182.0,PO1,SL Benfica,1500000.0,0,0,0,0,5,19
Pieter Gerkens,Belgium,Midfield,right,179.0,BE1,KAA Gent,1500000.0,1,0,4,2,1117,29
László Kleinheisler,Hungary,Midfield,right,173.0,GR1,Panathinaikos FC,1500000.0,0,0,0,0,77,30
Jacob Christensen,Denmark,Midfield,right,180.0,L1,1.FC Köln,1500000.0,1,0,0,0,270,23
Bouna Sarr,Senegal,Defender,right,178.0,L1,Bayern Munich,1500000.0,0,0,0,1,204,33
Joaquín Fernández,Spain,Defender,left,190.0,TR1,Trabzonspor,1500000.0,1,0,0,0,386,28
Josh Bowler,England,Attack,left,184.0,GB1,Nottingham Forest,1500000.0,1,0,0,0,90,25
Malcolm Ebiowei,England,Attack,left,185.0,BE1,RWD Molenbeek,1500000.0,1,0,0,1,144,21
Aral Şimşir,Türkiye,Attack,right,167.0,DK1,FC Midtjylland,1500000.0,3,0,3,1,1886,22
Manu Trigueros,Spain,Midfield,right,178.0,ES1,Villarreal CF,1500000.0,0,0,3,0,854,33
Anton Shvets,Russia,Midfield,both,190.0,RU1,Akhmat Grozny,1500000.0,7,0,1,2,1058,31
Léo Baptistão,Brazil,Attack,right,183.0,ES1,UD Almería,1500000.0,6,1,6,0,1910,32
Marius Mouandilmadji,Chad,Attack,right,190.0,TR1,Samsunspor,1500000.0,5,1,9,2,2093,27
Benno Schmitz,Germany,Defender,right,182.0,L1,1.FC Köln,1500000.0,5,0,1,2,1361,30
Felipe,Brazil,Defender,right,190.0,GB1,Nottingham Forest,1500000.0,3,0,0,1,583,35
Marouan Azarkan,Morocco,Attack,left,165.0,NL1,FC Utrecht,1500000.0,3,0,0,1,865,23
Cláudio Ramos,Portugal,Goalkeeper,right,183.0,PO1,FC Porto,1500000.0,0,0,0,0,293,33
Kirill Kravtsov,Russia,Midfield,right,187.0,RU1,FC Sochi,1500000.0,8,0,4,0,2330,22
Weverson,Brazil,Defender,left,185.0,PO1,FC Arouca,1500000.0,4,0,1,1,2149,24
Vitor Hugo,Brazil,Defender,left,187.0,GR1,Panathinaikos FC,1500000.0,0,0,0,0,608,33
Pelle van Amersfoort,Netherlands,Attack,right,195.0,NL1,SC Heerenveen,1500000.0,3,0,13,1,2265,28
Étienne Camara,France,Midfield,left,191.0,BE1,R Charleroi SC,1500000.0,2,0,0,0,428,21
Tom Lacoux,France,Midfield,right,182.0,PO1,FC Famalicão,1500000.0,1,0,0,0,364,23
Elbasan Rashani,Kosovo,Attack,left,181.0,FR1,Clermont Foot 63,1500000.0,4,2,2,1,1176,31
Davide Faraoni,Italy,Defender,right,180.0,IT1,ACF Fiorentina,1500000.0,5,0,0,2,995,33
Djibril Sidibé,France,Defender,right,183.0,GR1,AEK Athens,1500000.0,3,1,1,0,1622,32
Yoann Salmier,French Guiana,Defender,right,188.0,FR1,Le Havre AC,1500000.0,3,0,1,1,1569,32
Rúben Vezo,Portugal,Defender,right,182.0,GR1,Olympiacos Piraeus,1500000.0,1,0,0,0,153,30
Sam Larsson,Sweden,Attack,right,180.0,TR1,Antalyaspor,1500000.0,1,0,5,1,2572,31
Christopher Lenz,Germany,Defender,left,180.0,L1,Eintracht Frankfurt,1500000.0,1,0,0,0,234,30
Victor Lind,Denmark,Attack,left,176.0,DK1,Vejle Boldklub,1500000.0,0,0,0,0,170,21
Simone Bastoni,Italy,Midfield,left,181.0,IT1,FC Empoli,1500000.0,3,0,1,0,777,28
Yuki Soma,Japan,Attack,right,166.0,PO1,Casa Pia AC,1500000.0,3,0,5,3,2084,27
Hidde ter Avest,Netherlands,Defender,right,182.0,NL1,FC Utrecht,1500000.0,2,0,0,1,2218,27
Kieran Dowell,England,Midfield,left,183.0,SC1,Rangers FC,1500000.0,0,0,2,0,476,27
Sven van Beek,Netherlands,Defender,right,189.0,NL1,SC Heerenveen,1500000.0,3,0,1,2,2779,30
Jiri Pavlenka,Czech Republic,Goalkeeper,right,196.0,L1,SV Werder Bremen,1500000.0,0,0,0,0,720,32
Josip Radosevic,Croatia,Midfield,right,180.0,DK1,Bröndby IF,1500000.0,4,0,2,1,1275,30
Robin Olsen,Sweden,Goalkeeper,right,196.0,GB1,Aston Villa,1500000.0,0,0,0,0,630,35
Alberto Brignoli,Italy,Goalkeeper,left,188.0,GR1,Panathinaikos FC,1500000.0,2,0,0,0,1880,33
Simon Kjær,Denmark,Defender,right,191.0,IT1,AC Milan,1500000.0,1,0,0,1,1465,35
Pierre Kunde,Cameroon,Midfield,right,180.0,GR1,Atromitos Athens,1500000.0,2,1,0,3,1788,29
Cheick Oumar Konaté,Mali,Defender,right,173.0,FR1,Clermont Foot 63,1500000.0,4,0,1,1,1068,20
Ole Pohlmann,Germany,Midfield,right,183.0,L1,Borussia Dortmund,1500000.0,0,0,0,0,52,23
Gonzalo Escalante,Argentina,Midfield,right,182.0,ES1,Cádiz CF,1500000.0,2,1,1,2,1811,31
Mihajlo Banjac,Serbia,Midfield,left,186.0,RU1,FK Krasnodar,1500000.0,3,0,0,2,740,25
Miguel Rubio,Spain,Defender,right,191.0,ES1,Granada CF,1500000.0,5,0,1,0,1561,26
Nikolay Kalinskiy,Russia,Midfield,right,180.0,RU1,FC Pari Nizhniy Novgorod,1500000.0,6,0,7,5,2504,31
Toni Villa,Spain,Attack,right,172.0,ES1,Girona FC,1500000.0,0,0,0,0,11,30
Tim Siersleben,Germany,Defender,left,187.0,L1,1.FC Heidenheim 1846,1500000.0,1,0,0,0,1044,24
Viktor Kovalenko,Ukraine,Midfield,right,182.0,IT1,FC Empoli,1500000.0,1,0,2,1,606,28
Ross McCausland,Northern Ireland,Attack,right,183.0,SC1,Rangers FC,1500000.0,0,0,2,3,1602,21
Juan Cruz,Spain,Attack,left,180.0,ES1,Real Betis Balompié,1500000.0,3,0,0,1,2192,24
Eli Dasa,Israel,Defender,right,177.0,RU1,Dynamo Moscow,1500000.0,2,0,0,2,1716,32
Younes Taha,Morocco,Midfield,left,176.0,NL1,Twente Enschede FC,1500000.0,2,0,3,1,485,22
Aleksandr Selikhov,Russia,Goalkeeper,right,190.0,RU1,Spartak Moscow,1500000.0,2,0,0,0,855,30
Kialonda Gaspar,Angola,Defender,right,193.0,PO1,CF Estrela Amadora SAD,1500000.0,9,0,1,0,2440,27
Nemanja Jovic,Serbia,Attack,right,178.0,PO1,GD Estoril Praia,1500000.0,0,0,0,0,13,22
Loizos Loizou,Cyprus,Attack,left,168.0,NL1,SC Heerenveen,1500000.0,0,0,0,0,340,21
Francis Coquelin,France,Midfield,right,177.0,ES1,Villarreal CF,1500000.0,6,0,0,0,1146,33
Amath Ndiaye,Senegal,Attack,right,173.0,ES1,RCD Mallorca,1500000.0,3,0,0,0,620,28
Marcus Coco,Guadeloupe,Attack,right,184.0,FR1,FC Nantes,1500000.0,2,0,1,0,1489,28
Manuel Gulde,Germany,Defender,right,184.0,L1,SC Freiburg,1500000.0,6,0,1,0,2714,33
Gustavo Sauer,Brazil,Attack,left,181.0,TR1,Caykur Rizespor,1400000.0,4,0,1,1,1539,31
Dimitrios Kourbelis,Greece,Midfield,right,181.0,TR1,Fatih Karagümrük,1400000.0,6,0,0,0,1175,31
Federico Di Francesco,Italy,Attack,right,171.0,IT1,US Lecce,1400000.0,0,0,1,0,31,30
Darko Brasanac,Serbia,Midfield,right,178.0,ES1,CA Osasuna,1400000.0,0,0,0,0,123,32
Fernando Muslera,Uruguay,Goalkeeper,right,190.0,TR1,Galatasaray,1400000.0,4,0,0,0,4560,38
Valdemar Lund,Denmark,Defender,left,193.0,DK1,FC Copenhagen,1400000.0,2,0,1,0,659,21
Marc Cardona,Spain,Attack,right,182.0,ES1,UD Las Palmas,1400000.0,5,0,4,2,832,29
Rubén Sobrino,Spain,Attack,right,185.0,ES1,Cádiz CF,1400000.0,8,1,0,1,1675,32
Gian Marco Ferrari,Italy,Defender,left,189.0,IT1,US Sassuolo,1400000.0,4,0,1,0,2359,32
Rick van Drongelen,Netherlands,Defender,left,188.0,TR1,Samsunspor,1400000.0,6,0,3,0,2396,26
Gustavo Marques,Brazil,Defender,right,189.0,PO1,SL Benfica,1400000.0,0,0,0,0,2,23
Ørjan Nyland,Norway,Goalkeeper,right,192.0,ES1,Sevilla FC,1400000.0,1,0,0,0,2520,34
Filip Damjanovic,Serbia,Defender,right,188.0,TR1,Konyaspor,1400000.0,2,0,0,0,881,26
Halil Akbunar,Türkiye,Attack,left,170.0,TR1,Pendikspor,1400000.0,2,1,5,3,2812,31
Liam Henderson,Scotland,Midfield,right,183.0,IT1,FC Empoli,1400000.0,0,0,0,0,72,28
Gennaro Borrelli,Italy,Attack,right,194.0,IT1,Frosinone Calcio,1400000.0,0,0,0,0,88,24
Kiko Femenía,Spain,Defender,right,174.0,ES1,Villarreal CF,1400000.0,9,0,0,1,2005,33
Nico Serrano,Spain,Attack,left,176.0,NL1,PEC Zwolle,1400000.0,1,0,0,1,189,21
Mustafa Eskihellaç,Türkiye,Attack,right,175.0,TR1,Gaziantep FK,1400000.0,5,0,2,4,3069,27
Pione Sisto,Denmark,Attack,right,172.0,TR1,Alanyaspor,1300000.0,1,0,1,0,662,29
Ernest Poku,Netherlands,Attack,right,176.0,NL1,AZ Alkmaar,1300000.0,1,0,2,4,911,21
Dylan Bronn,Tunisia,Defender,right,185.0,IT1,US Salernitana 1919,1300000.0,0,0,0,0,229,29
Alassane Ndao,Senegal,Attack,right,176.0,TR1,Istanbulspor,1300000.0,3,0,3,4,2848,28
Mamadou Coulibaly,Senegal,Midfield,right,183.0,IT1,US Salernitana 1919,1300000.0,0,0,0,0,162,25
Alen Halilovic,Croatia,Midfield,left,169.0,NL1,Fortuna Sittard,1300000.0,1,0,5,2,2316,28
Stefan Mitrovic,Serbia,Defender,right,189.0,BE1,KAA Gent,1300000.0,5,0,1,1,1290,34
Wilson Manafá,Portugal,Defender,right,177.0,ES1,Granada CF,1300000.0,1,0,0,1,331,30
Guy-Marcelin Kilama,Cameroon,Defender,right,182.0,TR1,Hatayspor,1300000.0,4,0,2,1,3136,25
Eyüp Aydın,Germany,Midfield,both,181.0,TR1,Galatasaray,1300000.0,0,0,0,1,40,20
Fredrik Gulbrandsen,Norway,Attack,right,175.0,TR1,Adana Demirspor,1300000.0,0,0,2,0,272,32
Uğur Çiftçi,Türkiye,Defender,left,179.0,TR1,Sivasspor,1300000.0,10,0,0,3,3208,32
Andre Gray,Jamaica,Attack,right,178.0,GR1,Aris Thessaloniki,1300000.0,0,0,0,0,59,33
Arthur Zagré,France,Defender,left,168.0,NL1,Excelsior Rotterdam,1300000.0,6,1,1,4,2527,23
Mert Hakan Yandaş,Türkiye,Midfield,right,174.0,TR1,Fenerbahce,1300000.0,6,0,2,4,783,30
Julian Baas,Netherlands,Midfield,right,184.0,NL1,Excelsior Rotterdam,1300000.0,8,0,3,2,3218,22
Luca Caldirola,Italy,Defender,left,186.0,IT1,AC Monza,1300000.0,7,0,1,1,2229,33
Mike Eerdhuijzen,Netherlands,Defender,left,194.0,NL1,Sparta Rotterdam,1300000.0,1,0,1,0,1321,24
Emre Akbaba,Türkiye,Midfield,left,180.0,TR1,Adana Demirspor,1300000.0,6,0,8,2,3188,32
Massanga Matondo,Congo,Midfield,right,172.0,TR1,Hatayspor,1300000.0,4,0,3,0,2289,25
Petar Stojanović,Slovenia,Defender,right,178.0,IT1,FC Empoli,1300000.0,0,0,0,0,22,29
Milad Mohammadi,Iran,Defender,left,178.0,GR1,AEK Athens,1300000.0,4,0,1,0,1957,31
Shawn Adewoye,Belgium,Defender,right,183.0,NL1,RKC Waalwijk,1300000.0,1,1,1,0,2429,24
Renaldo Cephas,Jamaica,Attack,right,179.0,TR1,MKE Ankaragücü,1300000.0,5,0,7,3,1975,25
Martin Boyle,Australia,Attack,right,172.0,SC1,Hibernian FC,1300000.0,7,0,7,4,2517,31
Benito Raman,Belgium,Attack,right,172.0,TR1,Samsunspor,1300000.0,3,0,0,1,705,30
Ivan Oleynikov,Russia,Attack,right,178.0,RU1,Akhmat Grozny,1300000.0,3,0,4,5,2052,26
Sander van de Streek,Netherlands,Midfield,right,180.0,TR1,Antalyaspor,1300000.0,3,1,2,2,1856,31
Hamza Mendyl,Morocco,Defender,left,179.0,BE1,Oud-Heverlee Leuven,1300000.0,10,0,3,1,1512,27
Endri Cekici,Albania,Midfield,both,178.0,TR1,Pendikspor,1300000.0,4,0,1,2,822,28
Gonçalo Esteves,Portugal,Defender,right,176.0,NL1,AZ Alkmaar,1300000.0,0,0,0,1,77,20
Carlos Alberto,Brazil,Attack,right,181.0,BE1,RWD Molenbeek,1300000.0,0,0,2,0,664,22
Luan Peres,Brazil,Defender,left,190.0,TR1,Fenerbahce,1300000.0,1,0,0,0,270,30
Franck Surdez,Switzerland,Attack,right,188.0,BE1,KAA Gent,1300000.0,0,0,0,0,52,22
Bartosz Bereszyński,Poland,Defender,right,183.0,IT1,FC Empoli,1300000.0,3,0,0,1,1795,32
Norbert Gyömbér,Slovakia,Defender,right,189.0,IT1,US Salernitana 1919,1300000.0,9,0,0,0,1986,32
Sandy Walsh,Indonesia,Defender,right,185.0,BE1,KV Mechelen,1300000.0,3,0,0,1,1526,29
Jasper Schendelaar,Netherlands,Goalkeeper,right,186.0,NL1,PEC Zwolle,1300000.0,1,0,0,0,2880,24
Bas Kuipers,Netherlands,Defender,left,180.0,NL1,Go Ahead Eagles,1300000.0,7,0,5,5,3253,30
Jasper Cillessen,Netherlands,Goalkeeper,right,187.0,NL1,NEC Nijmegen,1300000.0,1,0,0,0,2851,35
Owen Beck,Wales,Defender,left,177.0,SC1,Dundee FC,1250000.0,8,0,2,4,2240,22
Alex Suárez,Spain,Defender,right,180.0,ES1,UD Las Palmas,1200000.0,8,0,2,0,2748,31
Christopher Antwi-Adjei,Ghana,Attack,right,174.0,L1,VfL Bochum,1200000.0,5,0,2,2,1304,30
Mats Deijl,Netherlands,Defender,right,181.0,NL1,Go Ahead Eagles,1200000.0,2,0,1,4,3081,27
Daniel Jr,Brazil,Midfield,left,174.0,RU1,Akhmat Grozny,1200000.0,2,0,0,2,278,22
Vladislav Shitov,Russia,Attack,left,177.0,RU1,Krylya Sovetov Samara,1200000.0,0,0,4,4,1748,21
Aleksey Sutormin,Russia,Attack,right,188.0,RU1,FC Sochi,1200000.0,2,0,2,3,909,31
Konstantinos Galanopoulos,Greece,Midfield,right,172.0,GR1,AEK Athens,1200000.0,4,0,1,1,609,27
Mario Dorgeles,Cote d'Ivoire,Midfield,left,177.0,DK1,FC Nordsjaelland,1200000.0,0,0,1,0,724,20
Álex Centelles,Spain,Defender,left,185.0,ES1,UD Almería,1200000.0,2,0,0,1,1069,25
Andrew Hjulsager,Denmark,Midfield,right,175.0,BE1,KAA Gent,1200000.0,2,0,1,0,925,30
Filippo Melegoni,Italy,Midfield,right,186.0,IT1,Genoa CFC,1200000.0,0,0,0,0,68,25
Murilo de Souza,Brazil,Attack,left,176.0,PO1,Gil Vicente FC,1200000.0,3,0,4,5,1999,30
Kaide Gordon,England,Attack,left,173.0,GB1,Liverpool FC,1200000.0,0,0,0,0,77,20
Rafa Soares,Portugal,Defender,left,177.0,GR1,PAOK Thessaloniki,1200000.0,2,0,2,1,1131,29
Ignasi Miquel,Spain,Defender,left,189.0,ES1,Granada CF,1200000.0,5,0,1,1,3006,32
Lefteris Lyratzis,Greece,Defender,right,178.0,GR1,PAOK Thessaloniki,1200000.0,0,0,0,0,444,24
Fraser Hornby,Scotland,Attack,right,195.0,L1,SV Darmstadt 98,1200000.0,1,0,0,0,303,25
Evert Linthorst,Netherlands,Midfield,right,187.0,NL1,Go Ahead Eagles,1200000.0,0,0,1,1,2527,24
Bogdan Lednev,Ukraine,Midfield,left,173.0,UKR1,SK Dnipro-1,1200000.0,3,0,4,0,2053,26
Saevar Atli Magnússon,Iceland,Attack,right,177.0,DK1,Lyngby BK,1200000.0,3,0,2,4,1701,24
Lucas Chaves,Argentina,Goalkeeper,right,182.0,GR1,Panetolikos GFS,1200000.0,0,0,0,0,465,29
Khusniddin Alikulov,Uzbekistan,Defender,right,186.0,TR1,Caykur Rizespor,1200000.0,4,0,0,0,1304,25
Marcão,Brazil,Attack,both,196.0,TR1,Fatih Karagümrük,1200000.0,5,0,7,1,1214,30
Karol Angielski,Poland,Attack,left,181.0,GR1,Atromitos Athens,1200000.0,1,0,10,0,1376,28
Dejan Lovren,Croatia,Defender,right,188.0,FR1,Olympique Lyon,1200000.0,2,1,0,0,721,35
Javi Martínez,Spain,Midfield,right,181.0,ES1,CA Osasuna,1200000.0,0,0,0,0,57,25
Alexander Callens,Peru,Defender,left,186.0,GR1,AEK Athens,1200000.0,6,0,1,0,1544,32
Kirill Kaplenko,Belarus,Midfield,right,190.0,RU1,Baltika Kaliningrad,1200000.0,3,0,2,2,1784,25
Marnon Busch,Germany,Defender,right,182.0,L1,1.FC Heidenheim 1846,1200000.0,1,0,0,2,681,30
Ignacio Saavedra,Chile,Midfield,right,174.0,RU1,FC Sochi,1200000.0,4,0,1,0,1016,26
Jon Ander Olasagasti,Spain,Midfield,left,176.0,ES1,Real Sociedad,1200000.0,3,0,0,1,540,24
Imanol García de Albéniz,Spain,Defender,left,177.0,ES1,Athletic Bilbao,1200000.0,3,0,0,0,613,24
Martín Aguirregabiria,Spain,Defender,right,180.0,PO1,FC Famalicão,1200000.0,4,0,0,1,1292,28
Lazar Markovic,Serbia,Attack,right,175.0,TR1,Gaziantep FK,1200000.0,7,0,3,5,1547,30
Oscar Schwartau,Denmark,Attack,right,186.0,DK1,Bröndby IF,1200000.0,1,0,1,0,289,18
Vinícius,Brazil,Goalkeeper,right,195.0,PO1,Portimonense SC,1200000.0,2,0,0,0,1620,30
Timur Suleymanov,Russia,Attack,both,183.0,RU1,Lokomotiv Moscow,1200000.0,4,0,13,2,1686,24
Aliou Badji,Senegal,Attack,right,189.0,TR1,Gaziantep FK,1200000.0,2,0,1,0,328,27
Luca Garritano,Italy,Midfield,right,172.0,IT1,Frosinone Calcio,1200000.0,1,0,0,1,679,30
Miguel,Brazil,Midfield,right,174.0,RU1,FC Sochi,1200000.0,1,0,2,5,1126,21
Béni Makouana,Congo,Attack,right,182.0,UKR1,Polissya Zhytomyr,1200000.0,2,0,4,3,1575,22
Urko González de Zarate,Spain,Midfield,right,189.0,ES1,Real Sociedad,1200000.0,1,0,0,0,364,23
Arnaud Lusamba,DR Congo,Midfield,right,180.0,TR1,Pendikspor,1200000.0,7,0,0,3,2026,28
Zidan Sertdemir,Denmark,Midfield,left,186.0,DK1,FC Nordsjaelland,1200000.0,0,0,0,1,258,19
Pedrão,Brazil,Defender,right,194.0,PO1,Portimonense SC,1200000.0,8,1,3,1,2679,27
Choco Lozano,Honduras,Attack,right,183.0,ES1,UD Almería,1200000.0,2,0,4,4,959,31
Joel Fameyeh,Ghana,Attack,right,180.0,RU1,Baltika Kaliningrad,1200000.0,3,0,4,1,1253,27
Joris Kramer,Netherlands,Defender,left,187.0,NL1,Go Ahead Eagles,1200000.0,2,0,2,0,2799,28
Doğucan Haspolat,Türkiye,Midfield,right,177.0,TR1,Trabzonspor,1200000.0,3,0,0,0,554,24
Adrian Grbic,Austria,Attack,left,188.0,FR1,FC Lorient,1200000.0,0,0,0,0,30,28
Moritz-Broni Kwarteng,Germany,Midfield,both,175.0,L1,VfL Bochum,1200000.0,1,1,0,1,267,26
Gauthier Gallon,France,Goalkeeper,right,187.0,FR1,Stade Rennais FC,1200000.0,0,0,0,0,90,31
Jens Stryger Larsen,Denmark,Defender,right,182.0,TR1,Trabzonspor,1200000.0,2,0,0,0,1004,33
Maestro,Angola,Midfield,right,173.0,TR1,Adana Demirspor,1200000.0,3,0,0,1,1124,21
Oleg Kozhushko,Ukraine,Attack,right,173.0,UKR1,Kryvbas Kryvyi Rig,1200000.0,5,0,9,4,1673,26
Éder Balanta,Colombia,Midfield,left,180.0,BE1,Club Brugge KV,1200000.0,3,0,0,0,490,31
Taha Şahin,Türkiye,Defender,right,178.0,TR1,Caykur Rizespor,1200000.0,6,0,0,4,2945,24
Bill Antonio,Zimbabwe,Attack,right,177.0,BE1,KV Mechelen,1200000.0,0,0,3,0,576,22
Kolbeinn Finnsson,Iceland,Defender,left,181.0,DK1,Lyngby BK,1200000.0,8,0,2,2,1963,25
Jakub Jankto,Czech Republic,Midfield,left,184.0,IT1,Cagliari Calcio,1200000.0,0,0,1,2,987,29
